variable,community,degree,closeness,betweenness,strength,source,Label,Group
lw_own_home,1,14,0.000137419,0.007637273,14,NDRDD,DRD database,Substance use related
cp_methadone,1,13,0.00015321,0.025349374,13,NDRDD,,
cp_not_currently_prescribed_a_substitute_drug,1,13,0.000138447,0.005149253,13,NDRDD,,
idu_heroin,1,11,0.000152439,0.019983793,11,NDRDD,,
lw_homeless_accomodation,1,11,0.000123396,0.001888517,11,NDRDD,,
td_etizolam,1,11,0.000138408,0.014187126,11,NDRDD,,
cha_prison_healthcare,1,10,0.000140726,0.011132637,10,NDRDD,,
idu_diazepam_non_prescribed,1,10,0.000143575,0.005498076,10,NDRDD,,
lw_supported_accomodation,1,10,0.000134409,0.004339379,10,NDRDD,,
lww_with_spouse_partner,1,10,0.00011956,0.00126333,10,NDRDD,,
pdu_others_home,1,10,0.000142106,0.005567931,10,NDRDD,,
cha_gp,1,9,0.000153539,0.015782021,9,NDRDD,,
cha_statutory_addiction_service,1,9,0.000152929,0.012547986,9,NDRDD,,
edu_injecting,1,9,0.000142268,0.005536323,9,NDRDD,,
lw_relative_s_home,1,9,0.000127307,0.000822072,9,NDRDD,,
lww_living_alone,1,9,0.000119531,0.000453563,9,NDRDD,,
lww_with_friends,1,9,0.000119546,0.001037437,9,NDRDD,,
pdu_own_home,1,9,0.000142045,0.005149275,9,NDRDD,,
td_diazepam,1,9,0.000153374,0.015878164,9,NDRDD,,
td_heroin_morphine,1,9,0.000142369,0.005808819,9,NDRDD,,
cha_a_e,1,8,0.000149098,0.014277263,8,NDRDD,,
es_unemployed,1,8,0.000141623,0.009046841,8,NDRDD,,
idu_dihydrocodeine,1,8,0.000140805,0.008253191,8,NDRDD,,
lw_hostel,1,8,0.000121699,0.00063536,8,NDRDD,,
lw_no_fixed_abode,1,8,0.000123274,0.001083847,8,NDRDD,,
lww_with_parents,1,8,0.000119904,0.000147631,8,NDRDD,,
lww_with_relatives,1,8,0.000119517,0.000373623,8,NDRDD,,
td_nordiazepam,1,8,0.000143637,0.009270999,8,NDRDD,,
aa_no_known_treatment,1,7,0.000147059,0.01517475,7,NDRDD,,
cha_psychiatric_services,1,7,0.000143225,0.012980006,7,NDRDD,,
cp_suboxone,1,7,0.000128107,0.006356694,7,NDRDD,,
es_employed_paid_unpaid,1,7,0.000132979,0.000961451,7,NDRDD,,
idu_cannabis,1,7,0.000132767,0.002123619,7,NDRDD,,
idu_cocaine,1,7,0.000134318,0.004807847,7,NDRDD,,
idu_crack_cocaine,1,7,0.000137457,0.011526995,7,NDRDD,,
idu_ecstasy_mdma,1,7,0.000120685,0.002018087,7,NDRDD,,
idu_temazepam_non_prescribed,1,7,0.000127747,0.002970982,7,NDRDD,,
sod_naloxone_take_home,1,7,0.000139606,0.006787563,7,NDRDD,,
td_methadone,1,7,0.000143988,0.002959029,7,NDRDD,,
cha_social_work_services,1,6,0.000136314,0.005552392,6,NDRDD,,
edu_oral_consumption,1,6,0.000131874,0.002140908,6,NDRDD,,
idu_amphetamines,1,6,0.000124177,0.002349275,6,NDRDD,,
idu_volatile_substances,1,6,0.000114286,0.002997009,6,NDRDD,,
lw_friend_s_home,1,6,0.000122534,0.000266555,6,NDRDD,,
td_cocaine,1,6,0.000127129,0.010020736,6,NDRDD,,
td_codeine,1,6,0.000130174,0.002281549,6,NDRDD,,
aa_inpatient_detoxification_and_residential_community_rehabilitation,1,5,0.000143164,0.004319185,5,NDRDD,,
cha_hospital_inpatient_treatment,1,5,0.000140845,0.003962762,5,NDRDD,,
cha_residential_rehab,1,5,0.000127033,0.005441174,5,NDRDD,,
cp_buprenorphine,1,5,0.000130617,0.000614529,5,NDRDD,,
F103_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.WITHDRAWAL.OF.ALCOHOL,1,5,0.000150534,0.015126077,5,SMR,,
idu_buprenorphine,1,5,0.000127796,0.002418261,5,NDRDD,,
idu_methadone_non_prescribed,1,5,0.00012809,0.000627243,5,NDRDD,,
lw_temporary_accomodation_b_b_hotel,1,5,0.000107032,1.87E-05,5,NDRDD,,
pdu_hostel,1,5,0.000130839,0.001497905,5,NDRDD,,
cha_forensic_medical_examiner,1,4,0.000141884,0.00898622,4,NDRDD,,
cha_harm_reduction_team,1,4,0.000131458,0.002459422,4,NDRDD,,
cha_needle_exchange,1,4,0.000127113,0.000591916,4,NDRDD,,
chnd_homeless_services,1,4,0.000120744,0.001939439,4,NDRDD,,
edu_alcohol_consumption,1,4,0.000137703,0.00130133,4,NDRDD,,
edu_smoking,1,4,0.000132013,0.000489111,4,NDRDD,,
es_retired,1,4,0.000132066,0.001478807,4,NDRDD,,
idu_legal_highs_new_psychoactive_substances,1,4,0.000121271,0.002428792,4,NDRDD,,
mc_liver_disease,1,4,0.000146306,0.004615805,4,NDRDD,,
rse_homeless,1,4,0.000113688,0.000382919,4,NDRDD,,
td_alcohol,1,4,0.000136129,0.005404565,4,NDRDD,,
td_buprenorphine,1,4,0.000123229,0.000972822,4,NDRDD,,
td_cannabis,1,4,0.000120192,0.000219588,4,NDRDD,,
cha_addiction_psychology,1,3,0.000127616,0.001905757,3,NDRDD,,
cha_social_work_offender_services,1,3,0.000127926,0.000667503,3,NDRDD,,
cha_specialist_drug_service_non_statutory,1,3,0.000125376,0.000988862,3,NDRDD,,
chnd_housing,1,3,0.000112271,0.000273312,3,NDRDD,,
edu_no_evidence_of_drug_taking_or_alcohol_consumption,1,3,0.000131303,0.000361928,3,NDRDD,,
edu_snorting,1,3,0.000123778,0.000620749,3,NDRDD,,
L089_LOCAL.INFECTION.OF.SKIN.AND.SUBCUTANEOUS.TISSUE..UNSPECIFIED,1,3,0.000130174,0.006818349,3,SMR,,
METHADONE.HCL_ORAL.SOLN.1MG.1ML.S.F,1,3,0.000147449,0.008214361,3,PIS,,
pdu_hotel_b_b_temporary_accomodation,1,3,0.000117069,0.000348057,3,NDRDD,,
rse_prison,1,3,0.000123564,0.000624733,3,NDRDD,,
rse_relapse,1,3,0.000137627,0.002919711,3,NDRDD,,
td_alprazolam,1,3,0.000128899,0.000651667,3,NDRDD,,
td_ecstasy_mdma,1,3,0.000112587,0.001532126,3,NDRDD,,
td_oxazepam,1,3,0.000123503,0.000181332,3,NDRDD,,
td_temazepam,1,3,0.00013312,0.000265655,3,NDRDD,,
cha_arrest_referral,1,2,0.000121788,0,2,NDRDD,,
cha_drug_crisis_centre,1,2,0.000110803,0.001474858,2,NDRDD,,
cha_enhanced_addiction_casework_services_eacs,1,2,0.00012108,0.001474858,2,NDRDD,,
cha_probation,1,2,0.000123671,0.000101566,2,NDRDD,,
chnd_social_work,1,2,0.000118934,0.000732394,2,NDRDD,,
edu_inhalation,1,2,0.000100969,0,2,NDRDD,,
pc_post_traumatic_stress_disorder,1,2,0.000118231,0.000509656,2,NDRDD,,
pdu_supported_accomodation,1,2,0.000116768,2.10E-06,2,NDRDD,,
rse_breakdown,1,2,0.000105075,1.42E-07,2,NDRDD,,
td_volatile_substances,1,2,0.000100969,0,2,NDRDD,,
cha_community_rehabilitation,1,1,0.000110779,0,1,NDRDD,,
cha_completed_detox,1,1,9.82E-05,0,1,NDRDD,,
cha_dtto,1,1,0.000121051,0,1,NDRDD,,
cha_hospital_outpatient_treatment,1,1,0.000121139,0,1,NDRDD,,
cha_supported_accomodation,1,1,0.000117772,0,1,NDRDD,,
cha_throughcare_addiction_services_tas,1,1,0.000106225,0,1,NDRDD,,
chnd_no_known_contact,1,1,0.000130412,0,1,NDRDD,,
F113_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.WITHDRAWAL.OF.OPIOIDS,1,1,0.000128238,0,1,SMR,,
mc_back_pain_injury,1,1,0.000118624,0,1,NDRDD,,
mc_cardiac_condition,1,1,0.000114587,0,1,NDRDD,,
pdu_outdoors,1,1,0.00011936,0,1,NDRDD,,
pdu_public_place_indoors,1,1,0.00012219,0,1,NDRDD,,
td_amphetamines,1,1,0.000108601,0,1,NDRDD,,
td_endogenous_substance,1,1,0.000113161,0,1,NDRDD,,
td_other_illicit_drug,1,1,9.96E-05,0,1,NDRDD,,
td_other_nps,1,1,0.000106372,0,1,NDRDD,,
Y86X_SEQUELAE.OF.OTHER.ACCIDENTS,1,1,0.000113161,0,1,SMR,,
rse_childcustodyissues,2,2,0.5,1.28E-06,2,NDRDD,Child custody,Distinct condition
rse_childcustodyhearings,2,1,0.333333333,0,1,NDRDD,,
rse_lossofchildcustody,2,1,0.333333333,0,1,NDRDD,,
chnd_mental_health_services,3,7,0.000137969,0.016657819,7,NDRDD,Mental health inpatient treatment,Distinct condition
OLANZAPINE_TAB.10MG,3,7,0.000127453,0.00778358,7,PIS,,
VENLAFAXINE_CAP.75MG.M.R,3,7,0.000133618,0.016556424,7,PIS,,
CHLORPROMAZINE.HCL_TAB.50MG,3,6,0.00013637,0.011800388,6,PIS,,
F209_SCHIZOPHRENIA..UNSPECIFIED,3,6,0.000135318,0.016068175,6,SMR,,
F603_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER,3,6,0.000130174,0.007241336,6,SMR,,
OLANZAPINE_TAB.5MG,3,6,0.00012955,0.005840348,6,PIS,,
pc_bi_polar_disorder,3,6,0.000129668,0.006775508,6,NDRDD,,
QUETIAPINE_TAB.200MG,3,6,0.000129299,0.00724877,6,PIS,,
QUETIAPINE_TAB.25MG,3,6,0.000134862,0.009122816,6,PIS,,
td_olanzapine,3,6,0.000131804,0.009312396,6,NDRDD,,
CHLORPROMAZINE.HCL_TAB.25MG,3,5,0.000142939,0.017549063,5,PIS,,
DIORALYTE_PDR.SACH..BLKCURRANT.,3,5,0.000132873,0.015190635,5,PIS,,
F200_PARANOID.SCHIZOPHRENIA,3,5,0.00012222,0.004420745,5,SMR,,
F6031_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER.BORDERLINE.TYPE,3,5,0.000121374,0.002477109,5,SMR,,
OLANZAPINE_TAB.20MG,3,5,0.00012945,0.007380759,5,PIS,,
ORLISTAT_CAP.120MG,3,5,0.00012335,0.012058184,5,PIS,,
pc_personality_disorder,3,5,0.000127129,0.00540876,5,NDRDD,,
pc_schizophrenia,3,5,0.000131079,0.007571361,5,NDRDD,,
QUETIAPINE_TAB.100MG,3,5,0.000130327,0.006473424,5,PIS,,
QUETIAPINE_TAB.300MG,3,5,0.000131648,0.007864133,5,PIS,,
Z915_PERSONAL.HISTORY.OF.SELF.HARM,3,5,0.00014043,0.013893194,5,SMR,,
DEPAKOTE_TAB.G.R.500MG,3,4,0.000121271,0.002570466,4,PIS,,
DEPO.PROVERA_INJ.150MG.ML.1ML.PFS,3,4,0.000129149,0.010808085,4,PIS,,
es_long_term_sick_disabled,3,4,0.000138447,0.007446544,4,NDRDD,,
F431_POST.TRAUMATIC.STRESS.DISORDER,3,4,0.000122911,0.003222482,4,SMR,,
OLANZAPINE_TAB.15MG,3,4,0.000126582,0.001571871,4,PIS,,
R440_AUDITORY.HALLUCINATIONS,3,4,0.000132223,0.007897241,4,SMR,,
SEROQUEL_TAB.100MG,3,4,0.000126151,0.006088355,4,PIS,,
T427_POISONING.BY.ANTIEPILEPTIC...SEDATIVE.HYPNOTIC.DRUGS..UNSPEC,3,4,0.000141563,0.008674698,4,SMR,,
BECONASE_AQ.NSL.SPY.50MCG..200.D..22G,3,3,0.000117841,0.003435707,3,PIS,,
F609_PERSONALITY.DISORDER..UNSPECIFIED,3,3,0.000117028,0.000269532,3,SMR,,
METRONIDAZOLE_TAB.200MG,3,3,0.000126215,0.003573538,3,PIS,,
NEFOPAM.HCL_TAB.30MG,3,3,0.000115902,0.002809124,3,PIS,,
OLANZAPINE_TAB.7.5MG,3,3,0.000115433,0.001195026,3,PIS,,
OXYNORM_CAP.5MG,3,3,0.000130804,0.006666413,3,PIS,,
PRIADEL_TAB.200MG,3,3,0.000123854,0.002035641,3,PIS,,
PROCHLPZINE.MAL_TAB.BUCCAL.3MG,3,3,0.000129719,0.006426505,3,PIS,,
PROCYCLIDINE.HCL_TAB.5MG,3,3,0.000124844,0.003488089,3,PIS,,
QUETIAPINE_TAB.150MG,3,3,0.000116713,0.001833955,3,PIS,,
QUETIAPINE_TAB.200MG.M.R,3,3,0.00011279,0.001214059,3,PIS,,
R410_DISORIENTATION..UNSPECIFIED,3,3,0.00012791,0.004141459,3,SMR,,
SEROQUEL_TAB.200MG,3,3,0.000125063,0.002381015,3,PIS,,
SEROQUEL_TAB.25MG,3,3,0.000125691,0.00201957,3,PIS,,
XENICAL_CAP.120MG,3,3,0.000118469,0.003463251,3,PIS,,
ZYPREXA_TAB.5MG,3,3,0.000124285,0.001768694,3,PIS,,
ACUPAN_TAB.30MG,3,2,0.000108448,0.000198824,2,PIS,,
AVAMYS_NSL.SPY.27.5MCG..120D.,3,2,0.000120948,0.003031073,2,PIS,,
CANESTEN.HC_CRM,3,2,0.000124224,0.001756617,2,PIS,,
CLONAZEPAM_TAB.500MCG,3,2,0.000124394,0.001169926,2,PIS,,
DAKTACORT_CRM.2..1.,3,2,0.000116782,0.001139097,2,PIS,,
DEPAKOTE_TAB.G.R.250MG,3,2,0.000106394,7.43E-05,2,PIS,,
DIORALYTE_PDR.SACH..NATUR.,3,2,0.000116577,0.001797002,2,PIS,,
EFEXOR.XL_CAP.75MG,3,2,0.000130242,0.004830538,2,PIS,,
F115_PSYCHOTIC.DISORDER.DUE.TO.USE.OF.OPIOIDS,3,2,0.000122026,0.001300766,2,SMR,,
F319_BIPOLAR.AFFECTIVE.DISORDER..UNSPECIFIED,3,2,0.000112803,0.000409658,2,SMR,,
LEVONELLE_TAB.1.5MG,3,2,0.000129349,0.004927757,2,PIS,,
METHOCARBAMOL_TAB.750MG,3,2,0.000108637,0.001046457,2,PIS,,
NYSTAN_SUSP..READY.MIXED.,3,2,0.000113327,0.001102486,2,PIS,,
OLANZAPINE_TAB.2.5MG,3,2,0.0001146,0.000310407,2,PIS,,
pc_psychotic_episode,3,2,0.000123381,0.000499956,2,NDRDD,,
QUETIAPINE_TAB.150MG.M.R,3,2,0.000104581,6.64E-05,2,PIS,,
QUETIAPINE_TAB.300MG.M.R,3,2,0.000114325,0.000809747,2,PIS,,
QUETIAPINE_TAB.400MG.M.R,3,2,0.000104493,2.55E-06,2,PIS,,
QUETIAPINE_TAB.50MG.M.R,3,2,0.000116713,0.001474858,2,PIS,,
R268_OTHER.AND.UNSPECIFIED.ABNORMALITIES.OF.GAIT.AND.MOBILITY,3,2,0.000118441,0.000704423,2,SMR,,
ROBAXIN.750_TAB.750MG,3,2,0.000111483,0.001288963,2,PIS,,
S411_OPEN.WOUND.OF.UPPER.ARM,3,2,0.000131839,0.005833608,2,SMR,,
td_anti_psychotics,3,2,0.000117247,7.56E-05,2,NDRDD,,
VENLAFAXINE_CAP.150MG.M.R,3,2,0.000115808,0.002947163,2,PIS,,
VENLALIC.XL_TAB.150MG,3,2,0.000102166,0.001474858,2,PIS,,
ZIMOVANE_TAB.7.5MG,3,2,0.000120744,0.00299651,2,PIS,,
ZYPREXA_TAB.10MG,3,2,0.000114916,0.000167489,2,PIS,,
AMISULPRIDE_TAB.200MG,3,1,0.000107101,0,1,PIS,,
CHLORPROMAZINE.HCL_TAB.100MG,3,1,0.000117813,0,1,PIS,,
F199_MENTAL.BEHAV.DISORDERS.DUE.TO.MULTIPLE.DRUG.PSYCHOACTIVE.SUBSTANCE.USE,3,1,0.000107101,0,1,SMR,,
F259_SCHIZOAFFECTIVE.DISORDER..UNSPECIFIED,3,1,0.000121669,0,1,SMR,,
F323_SEVERE.DEPRESSIVE.EPISODE.WITH.PSYCHOTIC.SYMPTOMS,3,1,0.000107101,0,1,SMR,,
F329_DEPRESSIVE.EPISODE..UNSPECIFIED,3,1,0.000120831,0,1,SMR,,
F602_DISSOCIAL.PERSONALITY.DISORDER,3,1,0.000110852,0,1,SMR,,
mc_eating_disorder_underweight,3,1,0.000110852,0,1,NDRDD,,
PRIADEL_TAB.400MG,3,1,0.000108354,0,1,PIS,,
rse_illhealth,3,1,0.00011936,0,1,NDRDD,,
S711_OPEN.WOUND.OF.THIGH,3,1,0.000106451,0,1,SMR,,
SEROQUEL.XL_TAB.50MG,3,1,0.000102849,0,1,PIS,,
td_venlafaxine,3,1,0.000115754,0,1,NDRDD,,
VENLALIC.XL_TAB.75MG,3,1,9.14E-05,0,1,PIS,,
chnd_employability_services,4,2,0.5,1.28E-06,2,NDRDD,Employment,Distinct condition
es_support_into_employment,4,1,0.333333333,0,1,NDRDD,,
rse_debt,4,1,0.333333333,0,1,NDRDD,,
THIAMINE.HCL_TAB.100MG,5,11,0.000163506,0.067091616,11,PIS,Alcohol treatment and detoxification,Substance use related
chnd_alcohol_services,5,8,0.000147754,0.009717925,8,NDRDD,,
aa_vitamin_supplements,5,7,0.000149723,0.018894236,7,NDRDD,,
CHLORDIAZEPOX.HCL_CAP.10MG,5,6,0.000143719,0.00799657,6,PIS,,
VIT.B.CO.STRONG_TAB,5,6,0.000147907,0.025904716,6,PIS,,
CAMPRAL.EC_TAB.333MG,5,5,0.00013488,0.01125684,5,PIS,,
D509_IRON.DEFICIENCY.ANAEMIA..UNSPECIFIED,5,5,0.000143843,0.01576338,5,SMR,,
FERR.FUMAR_TAB.210MG,5,5,0.000135044,0.010444359,5,PIS,,
aa_alcohol_brief_interventions,5,4,0.000132066,0.002348598,4,NDRDD,,
aa_pharmacotherapy_and_community_based_detoxification,5,4,0.000142694,0.001709728,4,NDRDD,,
ACAMPROSATE.CALC_TAB.E.C.333MG,5,4,0.000141463,0.006397703,4,PIS,,
CO.CODAMOL.EFF_TAB.8MG.500MG,5,4,0.000127307,0.005635781,4,PIS,,
ESCITALOPRAM_TAB.10MG,5,4,0.000110412,0.004420745,4,PIS,,
FOLIC.ACID_TAB.5MG,5,4,0.000135026,0.011155669,4,PIS,,
LAXIDO_ORAL.PDR.SACH..ORANGE..S.F,5,4,0.000127081,0.005651793,4,PIS,,
DISULFIRAM_TAB.200MG,5,3,0.00012475,0.000607998,3,PIS,,
R224_LOCALIZED.SWELLING..MASS.AND.LUMP..LOWER.LIMB,5,3,0.000134192,0.008879536,3,SMR,,
aa_community_based_psychosocial_therapy,5,2,0.000127845,5.98E-05,2,NDRDD,,
aa_self_help_individual_and_group_based,5,2,0.000127845,5.98E-05,2,NDRDD,,
ANTABUSE_TAB.200MG,5,2,0.000118064,0.000119699,2,PIS,,
CHLORDIAZEPOX.HCL_TAB.10MG,5,2,0.00012577,0.000255147,2,PIS,,
PARACET_TAB.SOLB.500MG,5,2,0.000118835,0.001360804,2,PIS,,
R509_FEVER..UNSPECIFIED,5,2,0.000149723,0.00707358,2,SMR,,
THIAMINE.HCL_TAB.50MG,5,2,0.000126454,0.005884111,2,PIS,,
CHLORDIAZEPOX.HCL_CAP.5MG,5,1,0.000123259,0,1,PIS,,
CIPRALEX_TAB.10MG,5,1,9.79E-05,0,1,PIS,,
CO.CODAMOL.EFF_TAB.30MG.500MG,5,1,0.000110988,0,1,PIS,,
ESCITALOPRAM_TAB.20MG,5,1,9.79E-05,0,1,PIS,,
ESCITALOPRAM_TAB.5MG,5,1,9.79E-05,0,1,PIS,,
HYDROXOCOBALAMIN_INJ.1MG.ML.1ML.AMP,5,1,0.000116809,0,1,PIS,,
MICRALAX_MICRO.ENEM.5ML,5,1,0.000110816,0,1,PIS,,
td_benzo,5,1,0.000123259,0,1,NDRDD,,
GABAPENTIN_CAP.300MG,6,9,0.0001468,0.021243569,9,PIS,Benzos and pain,Substance use related
op_diazepam,6,9,0.000147254,0.019548272,9,NDRDD,,
op_mirtazapine,6,8,0.000139704,0.011097607,8,NDRDD,,
td_gabapentin,6,8,0.000140905,0.011281068,8,NDRDD,,
td_pregabalin,6,8,0.000142126,0.010055619,8,NDRDD,,
DIAZEPAM_TAB.5MG,6,7,0.000148544,0.021130446,7,PIS,,
op_amitriptyline,6,7,0.000134499,0.012606789,7,NDRDD,,
op_zopiclone,6,7,0.000136612,0.007838301,7,NDRDD,,
td_dihydrocodeine,6,7,0.000145624,0.012165001,7,NDRDD,,
TRAMADOL.HCL_CAP.50MG,6,7,0.000140528,0.016497765,7,PIS,,
DIHYDROCODEINE.TART_TAB.30MG,6,6,0.000148126,0.020916269,6,PIS,,
METHADONE.HCL_MIX.1MG.1ML.S.F,6,6,0.000156519,0.029769566,6,PIS,,
MIRTAZAPINE_TAB.45MG,6,6,0.000137571,0.01894128,6,PIS,,
op_dihydrocodeine,6,6,0.000141103,0.005362986,6,NDRDD,,
op_gabapentin,6,6,0.000142045,0.008438548,6,NDRDD,,
op_pregabalin,6,6,0.000138966,0.008434868,6,NDRDD,,
ZOPICLONE_TAB.7.5MG,6,6,0.000135318,0.006459738,6,PIS,,
td_mirtazapine,6,5,0.000135943,0.008896376,5,NDRDD,,
AMITRIPTYLINE.HCL_TAB.25MG,6,4,0.000125063,0.004703496,4,PIS,,
MIRTAZAPINE_TAB.30MG,6,4,0.000120788,0.005441324,4,PIS,,
op_tramadol,6,4,0.000137363,0.00448604,4,NDRDD,,
td_amitriptyline,6,4,0.000126743,0.001199646,4,NDRDD,,
td_other_opioids,6,4,0.000128783,0.002166589,4,NDRDD,,
td_zopiclone,6,4,0.000133316,0.005428651,4,NDRDD,,
TEMAZEPAM_TAB.10MG,6,4,0.00013312,0.003599067,4,PIS,,
TEMAZEPAM_TAB.20MG,6,4,0.000129249,0.006471796,4,PIS,,
AMITRIPTYLINE.HCL_TAB.50MG,6,3,0.000119161,0.000185486,3,PIS,,
ARIPIPRAZOLE_TAB.5MG,6,3,0.000125945,0.004419468,3,PIS,,
DIAZEPAM_TAB.10MG,6,3,0.000141183,0.000924061,3,PIS,,
GABAPENTIN_CAP.100MG,6,3,0.000131787,0.003240561,3,PIS,,
mc_chronic_pain,6,3,0.000128172,0.002851558,3,NDRDD,,
MIRTAZAPINE_ORODISPER.TAB.30MG,6,3,0.000114181,0.001990189,3,PIS,,
MIRTAZAPINE_ORODISPER.TAB.45MG,6,3,0.000129651,0.005056033,3,PIS,,
op_temazepam,6,3,0.000132433,0.002359004,3,NDRDD,,
td_nortriptyline,6,3,0.000122234,0.000460978,3,NDRDD,,
td_quetiapine,6,3,0.000130787,0.005037258,3,NDRDD,,
td_tramadol,6,3,0.000131199,0.00090948,3,NDRDD,,
AMITRIPTYLINE.HCL_TAB.10MG,6,2,0.000128518,0.001721461,2,PIS,,
ARIPIPRAZOLE_TAB.10MG,6,2,0.000109975,0.001474858,2,PIS,,
GABAPENTIN_CAP.400MG,6,2,0.000120135,0.002408446,2,PIS,,
GABAPENTIN_TAB.600MG,6,2,0.000136519,0.006108351,2,PIS,,
idu_gabapentin,6,2,0.000124254,0.0003087,2,NDRDD,,
MIRTAZAPINE_TAB.15MG,6,2,0.000121168,0.000918713,2,PIS,,
NITRAZEPAM_TAB.5MG,6,2,0.000126823,0.001474858,2,PIS,,
